code,name,sector,big,middle,small
5870,휴니드,통신장비,방산,방산,방산
353190,휴럼,식료품,음식료,건강기능식품,"비너지(V:nergy), 뮴(MUM) 등"
192410,휴림네트웍스,통신장비,통신,통신장비,이동통신용 안테나
90710,휴림로봇,기계,기계,로봇,제조용로봇
78590,휴림에이텍,자동차부품,Auto,자동차부품_차체,자동차용 내/외장재(Carpet)
205470,휴마시스,의료장비및서비스,헬스케어,체외진단,체외진단용의료기기
115160,휴맥스,셋톱박스,방송미디어,방송장비,셋톱박스 제조 및 판매 
28080,휴맥스홀딩스,셋톱박스,지주사,지주사,지주사
175140,휴먼테크놀로지,내구소비재,전자제품,가정용_전자제품,AI 스피커
200670,휴메딕스,제약,헬스케어,의료기기_피부미용,더말필러(관절염치료제)
79980,휴비스,섬유및의복,기초소재,화학섬유,Polyester
65510,휴비츠,의료장비및서비스,헬스케어,의료기기_안과,안과점용
215090,휴센텍,상업서비스,방산,방산,방산
5010,휴스틸,금속및광물,기초소재,철강_강관,강관 제조
263920,휴엠앤씨,용기및포장,헬스케어,바이오_기자재,"의료용 유리용기(앰플, 바이알, 카트리지)"
243070,휴온스,제약,헬스케어,제약_완제의약품,"(신경계) 국소마취제, 점안제 등"
84110,휴온스글로벌,제약,지주사,지주사,지주사
145020,휴젤,바이오,헬스케어,바이오의약품,대표상품: 보툴리눔톡신
24060,흥구석유,석유및가스,내수,주유소,주유소
10240,흥국,기계,기계,건설기계_부품,건설기계부품(하부구동부품)
